cc_d,id,country,region_d,time,INFLOWS,OUTFLOWS,debt_outflows,di_outflows,debt_inflows,di_inflows,equity_outflows,equity_inflows,errors_omissions,finl_acct,portfolio_outflows,portfolio_inflows,other_assets,other_liabs,reserve_flows,debt_outflows_bpm5,di_outflows_bpm5,debt_inflows_bpm5,di_inflows_bpm5,equity_outflows_bpm5,equity_inflows_bpm5,errors_omissions_bpm5,finl_acct_bpm5,portfolio_outflows_bpm5,portfolio_inflows_bpm5,other_assets_bpm5,other_liabs_bpm5,reserve_flows_bpm5,other_inflows_net,other_inflows_net_bpm5,xusv,NETFLOWS,id_time,date,qtr,yr,yr_qtr
US,111,US,1.0,1978-04-01,0.800000011920929,5.900000095367432,1.2,3.9,0.1,1.8,-0.1,1.0,8.3,5.1,1.1,1.0,0.9,-2.0,-0.3,-1.17,-4.06,0.05,1.97,0.07,0.96,8.35,-5.07,-1.1,1.01,-0.88,-2.01,0.27,-2.900000095367432,-1.129999995231628,,-5.099999904632568,111_73,1978-04-01,2,1978,1978_2
US,111,US,1.0,1978-07-01,16.0,9.399999618530273,0.5,2.5,3.3,1.3,0.0,0.0,0.0,-6.6,0.5,3.3,6.4,11.4,-0.1,-0.5,-2.6,3.33,1.41,-0.01,-0.03,0.02,6.62,-0.51,3.3,-6.42,11.44,0.11,5.0,17.86000061035156,,6.600000381469727,111_74,1978-07-01,3,1978,1978_3
US,111,US,1.0,1978-10-01,30.29999923706055,30.20000076293945,1.0,3.0,3.8,1.5,-0.1,0.0,-0.6,0.1,0.9,3.9,26.3,24.9,-0.1,-1.04,-3.16,3.81,1.63,0.13,0.04,-0.64,-0.05,-0.91,3.85,-26.33,24.87,0.12,-1.399999976158142,51.20000076293945,,0.09999847412109375,111_75,1978-10-01,4,1978,1978_4
US,111,US,1.0,1979-01-01,3.099999904632568,4.099999904632568,0.9,5.0,1.7,1.3,0.0,0.4,3.4,1.1,0.9,2.1,-1.8,-0.3,3.6,-0.93,-5.17,1.69,1.38,0.03,0.42,3.36,-1.13,-0.9,2.11,1.79,-0.34,-3.58,1.5,-2.130000114440918,,-1.0,111_76,1979-01-01,1,1979,1979_1
US,111,US,1.0,1979-04-01,6.099999904632568,15.89999961853027,0.5,7.2,0.8,2.2,-0.1,0.3,9.5,9.9,0.5,1.1,8.2,2.8,-0.3,-0.54,-7.36,0.78,2.29,0.05,0.27,9.51,-9.88,-0.49,1.05,-8.18,2.81,0.32,-5.400000095367432,10.98999977111816,,-9.799999237060547,111_77,1979-04-01,2,1979,1979_2
US,111,US,1.0,1979-07-01,23.89999961853027,28.60000038146973,1.8,7.0,2.2,2.3,0.5,0.2,4.9,4.8,2.3,2.3,19.3,19.3,-2.8,-1.79,-7.23,2.17,2.44,-0.54,0.15,4.93,-4.81,-2.33,2.32,-19.26,19.25,2.77,0.0,38.5099983215332,,-4.700000762939453,111_78,1979-07-01,3,1979,1979_3
US,111,US,1.0,1979-10-01,4.300000190734863,13.5,0.6,5.4,-0.3,2.4,0.4,0.2,8.5,9.2,1.0,-0.1,7.1,2.0,0.6,-0.57,-5.61,-0.32,2.59,-0.41,0.21,8.53,-9.23,-0.98,-0.11,-7.14,2.03,-0.64,-5.099999904632568,9.170000076293945,,-9.199999809265137,111_79,1979-10-01,4,1979,1979_4
US,111,US,1.0,1980-01-01,11.60000038146973,12.69999980926514,0.1,6.4,3.7,3.8,0.7,2.0,6.0,1.1,0.8,5.7,5.5,2.1,3.3,-0.1,-5.85,3.68,3.32,-0.68,2.0,6.04,-1.09,-0.78,5.68,-5.53,2.07,-3.27,-3.400000095367432,7.599999904632568,,-1.09999942779541,111_80,1980-01-01,1,1980,1980_1
US,111,US,1.0,1980-04-01,10.10000038146973,24.39999961853027,0.9,2.0,0.7,5.0,0.5,0.3,14.0,14.3,1.4,0.9,21.0,4.2,-0.5,-0.86,-2.79,0.65,5.76,-0.53,0.28,14.02,-14.35,-1.39,0.93,-21.01,4.15,0.51,-16.79999923706055,25.15999984741211,,-14.29999923706055,111_81,1980-04-01,2,1980,1980_2
US,111,US,1.0,1980-07-01,16.60000038146973,20.10000038146973,0.1,5.5,3.2,6.6,0.9,0.1,4.4,3.4,1.0,3.3,13.6,6.7,1.1,-0.09,-3.54,3.21,4.72,-0.86,0.05,4.39,-3.43,-0.95,3.26,-13.57,6.65,-1.11,-6.900000095367432,20.21999931335449,,-3.5,111_82,1980-07-01,3,1980,1980_3
US,111,US,1.0,1980-10-01,24.70000076293945,22.70000076293945,0.1,5.2,2.4,1.3,0.4,1.9,-1.6,-2.0,0.5,4.3,17.0,19.1,4.3,-0.07,-7.05,2.37,3.13,-0.38,1.91,-1.57,2.0,-0.45,4.28,-17.01,19.1,-4.27,2.099999904632568,36.11000061035156,,2.0,111_83,1980-10-01,4,1980,1980_4
US,111,US,1.0,1981-01-01,13.10000038146973,21.79999923706055,0.3,5.3,6.0,6.0,0.2,1.7,10.4,8.7,0.5,7.6,16.0,-0.5,4.5,-0.32,-2.42,5.95,3.15,-0.16,1.65,10.38,-8.67,-0.48,7.6,-15.99,-0.53,-4.52,-16.5,15.46000003814697,,-8.69999885559082,111_84,1981-01-01,1,1981,1981_1
US,111,US,1.0,1981-04-01,13.30000019073486,21.70000076293945,1.3,4.4,3.1,4.1,0.2,2.9,7.8,8.4,1.6,6.0,15.7,3.2,0.9,-1.33,-5.61,3.06,5.29,-0.22,2.9,7.84,-8.36,-1.55,5.96,-15.66,3.21,-0.9,-12.5,18.8700008392334,,-8.40000057220459,111_85,1981-04-01,2,1981,1981_2
