,时间,国内生产总值,国内生产总值(不变价),国内生产总值环比增长速度(%),国内生产总值贡献率
1992-03-31,1992年第一季度,5262.8,,,100.0
1992-06-30,1992年第二季度,6484.3,,,100.0
1992-09-30,1992年第三季度,7192.6,,,100.0
1992-12-31,1992年第四季度,8254.8,,,100.0
1993-03-31,1993年第一季度,6834.6,,,100.0
1993-06-30,1993年第二季度,8357.0,,,100.0
1993-09-30,1993年第三季度,9385.8,,,100.0
1993-12-31,1993年第四季度,11095.9,,,100.0
1994-03-31,1994年第一季度,9375.1,,,100.0
1994-06-30,1994年第二季度,11481.0,,,100.0
1994-09-30,1994年第三季度,12868.0,,,100.0
1994-12-31,1994年第四季度,14913.3,,,100.0
1995-03-31,1995年第一季度,12111.7,,,100.0
1995-06-30,1995年第二季度,14612.9,,,100.0
1995-09-30,1995年第三季度,16164.1,,,100.0
1995-12-31,1995年第四季度,18451.2,,,100.0
1996-03-31,1996年第一季度,14628.0,,,100.0
1996-06-30,1996年第二季度,17147.5,,,100.0
1996-09-30,1996年第三季度,18605.8,,,100.0
1996-12-31,1996年第四季度,21432.4,,,100.0
1997-03-31,1997年第一季度,16689.1,,,100.0
1997-06-30,1997年第二季度,19163.6,,,100.0
1997-09-30,1997年第三季度,20500.9,,,100.0
1997-12-31,1997年第四季度,23361.5,,,100.0
1998-03-31,1998年第一季度,18049.1,,,100.0
1998-06-30,1998年第二季度,20296.6,,,100.0
1998-09-30,1998年第三季度,21775.6,,,100.0
1998-12-31,1998年第四季度,25074.2,,,100.0
1999-03-31,1999年第一季度,19361.9,,,100.0
1999-06-30,1999年第二季度,21567.7,,,100.0
1999-09-30,1999年第三季度,23050.8,,,100.0
1999-12-31,1999年第四季度,26583.9,,,100.0
2000-03-31,2000年第一季度,21329.9,,,100.0
2000-06-30,2000年第二季度,24043.4,,,100.0
2000-09-30,2000年第三季度,25712.5,,,100.0
2000-12-31,2000年第四季度,29194.3,,,100.0
2001-03-31,2001年第一季度,24086.4,,,100.0
2001-06-30,2001年第二季度,26726.6,,,100.0
2001-09-30,2001年第三季度,28333.3,,,100.0
2001-12-31,2001年第四季度,31716.8,,,100.0
2002-03-31,2002年第一季度,26295.0,,,100.0
2002-06-30,2002年第二季度,29194.8,,,100.0
2002-09-30,2002年第三季度,31257.3,,,100.0
2002-12-31,2002年第四季度,34970.3,,,100.0
2003-03-31,2003年第一季度,29825.5,,,100.0
2003-06-30,2003年第二季度,32537.3,,,100.0
2003-09-30,2003年第三季度,35291.9,,,100.0
2003-12-31,2003年第四季度,39767.4,,,100.0
2004-03-31,2004年第一季度,34544.6,,,100.0
2004-06-30,2004年第二季度,38700.8,,,100.0
2004-09-30,2004年第三季度,41855.0,,,100.0
