year,ex_rate
1981,1.7259636363636364
1982,1.9070583333333333
1983,1.985875
1984,2.364508333333333
1985,2.9571916666666667
1986,3.468625
1987,3.7314
1988,3.7314
1989,3.8149416666666665
1990,4.81745
1991,5.343125
1992,5.518283333333334
1993,5.764616666666667
1994,8.610166666666666
1995,8.349366666666667
1996,8.313725
1997,8.288983333333334
1998,8.278866666666666
1999,8.278441666666666
2000,8.278383333333334
2001,8.277208333333332
2002,8.277075
2003,8.277258333333332
2004,8.276741666666666
2005,8.182333333333334
2006,7.958541666666667
2007,7.583933333333333
2008,6.925466666666667
2009,6.829691666666666
2010,6.759591666666667
2011,6.448833333333333
2012,6.301866666666666
2013,6.141266666666667
2014,6.170466666666667
2015,6.288941666666667
2016,6.654883333333333
2017,6.734983333333333
2018,6.629225
2019,6.901366666666667
2020,6.889333333333333
2021,6.4363166666666665
2022,6.751516666666666
2023,7.0898916666666665
2024,7.216816666666666
