date,GDP
1992-03-31,5262.8
1992-06-30,6484.3
1992-09-30,7192.6
1992-12-31,8254.8
1993-03-31,6834.6
1993-06-30,8357
1993-09-30,9385.8
1993-12-31,11095.9
1994-03-31,9375.1
1994-06-30,11481
1994-09-30,12868
1994-12-31,14913.3
1995-03-31,12111.7
1995-06-30,14612.9
1995-09-30,16164.1
1995-12-31,18451.2
1996-03-31,14628
1996-06-30,17147.5
1996-09-30,18605.8
1996-12-31,21432.4
1997-03-31,16689.1
1997-06-30,19163.6
1997-09-30,20500.9
1997-12-31,23361.5
1998-03-31,18049.1
1998-06-30,20296.6
1998-09-30,21775.6
1998-12-31,25074.2
1999-03-31,19361.9
1999-06-30,21567.7
1999-09-30,23050.8
1999-12-31,26583.9
2000-03-31,21329.9
2000-06-30,24043.4
2000-09-30,25712.5
2000-12-31,29194.3
2001-03-31,24086.4
2001-06-30,26726.6
2001-09-30,28333.3
2001-12-31,31716.8
2002-03-31,26295
2002-06-30,29194.8
2002-09-30,31257.3
2002-12-31,34970.3
2003-03-31,29825.5
2003-06-30,32537.3
2003-09-30,35291.9
2003-12-31,39767.4
2004-03-31,34544.6
2004-06-30,38700.8
2004-09-30,41855
2004-12-31,46739.8
2005-03-31,40453.3
2005-06-30,44793.1
2005-09-30,48047.8
2005-12-31,54024.8
2006-03-31,47078.9
2006-06-30,52673.3
2006-09-30,56064.7
2006-12-31,63621.6
2007-03-31,57159.3
2007-06-30,64781.6
2007-09-30,69482.1
2007-12-31,78669.3
2008-03-31,69373.6
2008-06-30,78711.8
2008-09-30,82460.1
2008-12-31,88699
2009-03-31,73979.2
2009-06-30,83865.8
2009-09-30,89846.9
2009-12-31,100825.8
2010-03-31,87501.3
2010-06-30,99347.4
2010-09-30,105963.7
2010-12-31,119306.8
2011-03-31,104469.9
2011-06-30,118895.9
2011-09-30,126562.2
2011-12-31,138012.1
2012-03-31,117357.6
2012-06-30,131320.6
2012-09-30,138089.6
2012-12-31,151812
2013-03-31,129449.6
2013-06-30,143518.7
2013-09-30,152222.7
2013-12-31,167772.3
2014-03-31,140759.8
2014-06-30,156489.6
2014-09-30,165484.7
2014-12-31,180828.9
2015-03-31,151137.9
2015-06-30,168549.7
2015-09-30,176597.7
2015-12-31,192572.9
2016-03-31,162410
2016-06-30,181408.2
2016-09-30,191010.6
2016-12-31,211566.2
2017-03-31,181867.7
2017-06-30,201950.3
2017-09-30,212789.3
2017-12-31,235428.7
2018-03-31,202035.7
2018-06-30,223962.2
2018-09-30,234474.3
2018-12-31,258808.9
2019-03-31,217168.3
2019-06-30,241502.6
2019-09-30,251046.3
2019-12-31,276798
2020-03-31,205244.8
2020-06-30,248347.7
2020-09-30,264355.7
2020-12-31,295618.8
2021-03-31,249200.2
2021-06-30,282849.2
2021-09-30,291288.1
2021-12-31,325899.4
2022-03-31,270344.5
2022-06-30,292446.7
2022-09-30,307942.1
2022-12-31,333990.7
2023-03-31,284423
2023-06-30,308292.6
2023-09-30,319976.3
2023-12-31,347890.1
2024-03-31,296299.5
2024-06-30,320536.5
2024-09-30,332909.8
