项目,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4
1. 经常账户,104.7116,43.592879999999802,52.530329999999999,113.8794848,11.533019999999899,5.03655999999995,100.56828,94.003523665853393,36.522270525000202,26.5572782590001,66.464361948664902,74.772243087053795,59.9441965863044,-8.9582677686954604,50.046823075825998,73.019997922282997,86.177605417055105,49.377651636482902,66.969551256897802,151.694873824898,26.083536681576199,82.281647207788893,85.501704196519995,236.64894052745899,33.467357963973697,58.121571642406899,172.66507605810401,425.155601221133,238.36189754593801,294.221884444522,334.94071840426,456.26043726927202,339.57280276831301,474.040275271273,605.35417716388304,899.46315544066704,666.24451936779701,865.505668658177,984.786275326583,1015.2903090206,822.04291052175699,954.72884801153202,1098.06013102467,1330.85327187749,673.31914421003205,396.919240080191,453.50193593448199,908.82535897147704,249.954044475312,437.64170493686299,826.31711223352499,864.19103443384802,15.0213517866923,437.28219357462598,424.327796253342,484.33627416083903,285.68475763862199,590.04848643210903,761.94910947997505,516.23512114370601,409.78807658524698,426.71216833733803,325.87397249796402,319.66528137822598,54.768762568760401,754.835622509014,785.048008137804,765.81338552071497,751.72812492620005,676.000515954295,667.65709772766297,834.83743174731103,455.09623268146697,590.98497699374104,720.09578287658303,147.193366868152,209.16864889606899,538.01578872860205,431.50168108907002,708.07514249788198,-397.73208761133998,-26.421314634522801,175.743266216839,489.71922787401201,222.97890144124901,198.126449619461,306.341059811869,301.65234921129701,-522.51501318229998,910.91595723420005,893.02811245090004,1206.9273828575999,762.36459609309998,554.86782915009996,923.0535093835,1288.5716117196,961.96792480429895,839.70862019579999,1514.7818186574,1117.2842075067999,767.36631664590004,592.79991338759999,607.79139172839996,561.91509168549896
贷方,432.90073267000002,489.39446335000002,488.10797744000001,579.54864829999997,403.32686941999998,483.92414964,585.44257260999996,651.27317468000001,558.38248139500001,663.13522473900002,744.39602610575002,759.12405682475003,652.51520731749997,707.90414608749995,759.82778126924995,785.49588255871095,709.39310514345902,861.13661076329299,964.66306499428299,1016.2267556627399,966.41522957416498,1116.79102356259,1271.0053131929501,1471.14266703864,1302.87378802013,1536.92744951746,1715.34115595406,1967.2649161301799,1722.2487528689001,2046.0746179359401,2214.1164990371099,2421.02707485164,2184.2021807659198,2578.1209667330199,2877.5602850407899,3138.83860540655,2845.9526447688399,3322.5746719480198,3744.1621382354101,3929.09749394351,3635.8321430938599,4226.1475339921099,4638.7551551353599,4121.47746974436,2911.21907631657,3227.01075792854,3771.4116933884402,4225.9608255080102,3738.5894878509198,4467.0714566901097,5038.1755884498698,5239.7320770463803,4811.4066189376599,5492.0118886070604,5841.2520016247199,5942.2310101065304,5323.1626510506703,6001.3915635352896,6330.0505725271996,6278.3570758755804,6065.90757882663,6372.3957156505603,6646.7784879806504,6842.2136084388303,5956.9552137148903,6885.1490519897097,7318.3646673416297,7273.5412662506897,6076.8345917490396,6551.1986375134202,6627.4992914238301,6943.5350938615702,5336.9557344347204,6118.8078624768996,6580.9430744336496,6518.0546659121201,6000.53417024996,6818.7188789748898,7044.4123577140699,7607.7680219719196,6558.2762068441798,7436.7655825142801,7805.2222415939696,7672.3635811376598,6662.4599974128696,7287.3794605613602,7621.2348579523596,7733.1350102693696,5582.3310114542001,7405.7140590605004,8326.5858076683999,8889.5595689376005,8568.2646941131006,9535.3808093112002,10168.470854310501,11041.2962704618,9705.0957722414005,9924.3809737885003,10706.388311693299,10005.633485590301,8944.4857780313996,9420.9963164295004,9636.3075760453994,9885.4640871770007
借方,-328.18913266999999,-445.80158334999999,-435.57764744000002,-465.66916350000002,-391.79384942000002,-478.88758963999999,-484.87429261,-557.26965101414601,-521.86021086999995,-636.57794648000004,-677.93166415708504,-684.35181373769603,-592.571010731196,-716.86241385619496,-709.780958193424,-712.47588463642796,-623.215499726404,-811.75895912681005,-897.69351373738596,-864.53188183784096,-940.33169289258899,-1034.5093763548,-1185.5036089964301,-1234.4937265111801,-1269.4064300561499,-1478.8058778750501,-1542.6760798959599,-1542.10931490905,-1483.88685532297,-1751.8527334914099,-1879.1757806328501,-1964.7666375823701,-1844.6293779976099,-2104.0806914617501,-2272.2061078769102,-2239.3754499658799,-2179.70812540104,-2457.0690032898401,-2759.3758629088302,-2913.80718492291,-2813.7892325721,-3271.41868598058,-3540.6950241106902,-2790.62419786687,-2237.8999321065298,-2830.0915178483501,-3317.9097574539601,-3317.1354665365402,-3488.6354433756101,-4029.42975175325,-4211.85847621635,-4375.54104261253,-4796.3852671509603,-5054.7296950324298,-5416.9242053713797,-5457.8947359456897,-5037.4778934120504,-5411.3430771031799,-5568.10146304723,-5762.1219547318797,-5656.1195022413804,-5945.6835473132196,-6320.9045154826799,-6522.5483270606101,-5902.1864511461299,-6130.3134294806996,-6533.3166592038297,-6507.7278807299799,-5325.10646682284,-5875.1981215591204,-5959.8421936961604,-6108.6976621142603,-4881.8595017532598,-5527.8228854831495,-5860.8472915570601,-6370.8612990439597,-5791.3655213538896,-6280.7030902462902,-6612.9106766249997,-6899.6928794740397,-6956.0082944555197,-7463.1868971488002,-7629.4789753771302,-7182.6443532636504,-6439.4810959716197,-7089.2530109418904,-7314.8937981404897,-7431.4826610580703,-6104.8460246365003,-6494.7981018262999,-7433.5576952174997,-7682.6321860799999,-7805.9000980199999,-8980.5129801611001,-9245.4173449270002,-9752.7246587421996,-8743.1278474370993,-9084.6723535926994,-9191.6064930359007,-8888.3492780835004,-8177.1194613854996,-8828.1964030419003,-9028.5161843170008,-9323.5489954914992
1.A 货物和服务,112.71259999999999,130.82335,109.07959,85.7513548000003,41.762089999999901,34.736069999999998,113.09105,116.820343665854,53.381055000000202,73.773365959000103,93.494005493914898,67.210089332303696,55.612864803804499,46.708995803804598,75.595048896575904,102.94529347709999,77.5826872070284,85.614918077748897,79.257875405150898,131.37123195026501,-0.70789480238579505,70.444810139928904,76.221753668289196,212.25262165711101,-39.493352028542603,56.128189377930099,139.622444473521,355.48654357659598,211.136747999303,290.23387575798398,330.89408840931497,414.00326300549898,278.767397430865,464.30173787978998,550.61896771443799,795.501141980836,560.16306971669701,770.92136165557099,835.18039474056502,914.09546172071703,541.24054843528495,741.78045838954699,962.76715512798501,1242.5371695865199,634.28805170171904,388.90918822205998,465.442966896808,712.663806847214,212.87889592901701,523.040011998257,743.719125132606,750.60068406811899,74.456330883891496,534.992783335235,660.88053015683897,548.70774475075905,38.182909412586902,687.49790526907998,732.51708804441603,860.25086475394301,400.68588840541702,623.57960146648395,441.72434486032199,887.80578130893298,-104.92441524789,626.48825120041101,765.03424092745297,926.39439259272103,698.26824366385495,814.167975069205,968.33929171779198,1097.9321323618799,520.00615017769599,730.167022224844,748.34766055994601,558.85004945901301,191.080768310049,618.61549080041902,543.23044510742398,817.17229512157701,-249.47939419790899,269.63655726312498,164.30983227214301,694.58448918137901,43.3004317897703,304.04772184050699,421.54573697570601,549.54908251440099,-379.63022802969999,1208.7589668685,1170.3572489031999,1586.2400938582,929.95097289080002,851.37781427640004,1142.8802400157999,1690.7339004104999,1271.8354671950001,1524.8092983622,1686.5993253494,1292.8453064194,853.6295677416,1110.3842114726999,952.13753872309996,944.48019986069903
贷方,421.79373267,479.28634334999998,476.29565744000001,510.12820829999998,380.61210942000002,457.16141964000002,541.82951261000005,607.39095468000005,525.38400587000001,626.95658143900005,699.37376265099999,679.20654740999998,608.48043437000001,665.06451490999996,715.25771526000005,731.79744061894098,663.53827293390395,802.61519947166903,905.57624040266796,958.29339642623995,889.11408032374095,1040.25450833015,1188.0518029872301,1362.1621461750201,1201.5417411582901,1438.5121039857599,1604.1743945723299,1829.34110153078,1591.6711711164801,1889.13779192277,2057.3619035740398,2195.2191873565598,2005.0389068745901,2374.6126693937799,2671.1092674411998,2866.5530338953399,2610.3488189069799,3040.4317952802799,3406.92639183551,3522.86095338409,3211.31055292876,3783.9436720653298,4240.9157815845301,3742.5178228172499,2600.2252633611702,2866.1436543462401,3414.4826083575399,3745.7900841322098,3331.9373309616999,4063.5814703749302,4484.3296508887297,4684.2681356003404,4322.3583191255602,4970.9537006456603,5434.4519160755199,5360.7605490279102,4582.9432504357301,5552.2912697401898,5724.4072289496999,5891.2783746380801,5408.1659830591298,5793.3959406630602,5969.5903180467503,6384.7951362121303,5294.2358213920998,6123.2477740329095,6589.2920402010304,6622.2446709850901,5350.4827228709601,5812.2727454287497,6131.1327161648196,6307.6363386264702,4755.37658173408,5445.5854131919596,5796.0357419071797,5982.2269544623296,5255.8797129751601,6026.65473765146,6211.9380897381698,6798.3010216890998,5854.15492142946,6666.6532716022102,6912.94818619734,7076.3396424599996,5848.7267581194401,6492.9248559854996,6849.1353728857202,7119.2053823588603,5209.7417182317004,6571.3037585915999,7464.0777856711002,8143.8566045154002,7668.7319378584998,8394.0525754575992,9210.8373679078995,10278.6928991777,8969.3809896456005,9270.4129347758007,9773.8957895778003,9179.5087287972001,8270.6379609061005,8672.9093954962009,8881.5947535644991,9287.3354109996999
借方,-309.08113266999999,-348.46299334999998,-367.21606744000002,-424.37685349999998,-338.85001942000002,-422.42534963999998,-428.73846261,-490.57061101414598,-472.00295087000001,-553.18321547999994,-605.87975715708501,-611.99645807769605,-552.86756956619502,-618.35551910619495,-639.66266636342402,-628.85214714184099,-585.95558572687503,-717.00028139391998,-826.31836499751705,-826.92216447597605,-889.82197512612697,-969.80969819022198,-1111.8300493189399,-1149.9095245179101,-1241.03509318683,-1382.3839146078301,-1464.55195009881,-1473.8545579541901,-1380.53442311718,-1598.90391616479,-1726.4678151647299,-1781.21592435106,-1726.2715094437201,-1910.31093151399,-2120.49029972677,-2071.0518919145102,-2050.1857491902902,-2269.51043362471,-2571.7459970949499,-2608.7654916633701,-2670.0700044934802,-3042.1632136757798,-3278.1486264565401,-2499.9806532307298,-1965.93721165945,-2477.23446612418,-2949.0396414607299,-3033.126277285,-3119.0584350326799,-3540.5414583766801,-3740.6105257561198,-3933.6674515322202,-4247.9019882416596,-4435.96091731043,-4773.5713859186799,-4812.0528042771502,-4544.7603410231404,-4864.7933644711102,-4991.8901409052896,-5031.0275098841403,-5007.4800946537098,-5169.81633919657,-5527.86597318643,-5496.9893549032004,-5399.1602366399902,-5496.7595228324999,-5824.2577992735796,-5695.8502783923695,-4652.2144792071003,-4998.1047703595405,-5162.7934244470198,-5209.7042062645896,-4235.37043155639,-4715.4183909671201,-5047.6880813472299,-5423.3769050033197,-5064.79894466512,-5408.0392468510399,-5668.7076446307501,-5981.1287265675201,-6103.6343156273697,-6397.01671433909,-6748.6383539251901,-6381.7551532786201,-5805.4263263296698,-6188.8771341449901,-6427.5896359100198,-6569.6562998444597,-5589.3719462613999,-5362.5447917231004,-6293.7205367678998,-6557.6165106571998,-6738.7809649677001,-7542.6747611811998,-8067.9571278921003,-8587.9589987672007,-7697.5455224506004,-7745.6036364135998,-8087.2964642283996,-7886.6634223778001,-7417.0083931645004,-7562.5251840234996,-7929.4572148413999,-8342.8552111389999
1.A.a 货物,119.79834535000001,134.83973248999999,141.68401494,59.946936110000301,53.830882209999899,45.645148059999997,124.97082786999999,104.787305635854,61.745765760000197,84.403150730000107,79.537558552914902,73.5101929023037,59.908148066304499,48.772001916304603,69.345200699075903,103.80459468580401,86.166401565972393,93.853508666672994,73.094952528446896,123.745004373784,14.696675603863101,86.173082713016996,77.869884566556195,219.269407756432,-24.8045103236507,60.903146451007203,155.99893607084499,321.80485473584503,212.56618459581401,284.158925539704,346.77652301550103,399.37434452025099,299.05721199951898,454.97815654879997,564.90409152590303,748.80874039668697,544.93714880089794,762.12015256848599,826.34702422848795,895.05831817565797,528.15368363160496,718.91139264257902,977.06083466107498,1220.55026213017,684.59671816518005,424.81258779800999,509.85010436738401,735.507662270281,264.76887061821401,554.06221094114198,772.27793803683403,789.75567528293095,186.80540188349201,628.18079787555098,821.71879689513901,650.30252968505897,186.628572196802,887.37374365924495,995.40070026206195,1046.2945154336901,659.97486517567995,913.58508036285298,860.47766743083605,1155.77536442932,436.73281480204298,1049.48573574326,1394.37301185769,1469.82465561814,1186.83897414741,1375.2396209368101,1596.66092764224,1603.17120093067,1044.6599592919899,1246.9346077714099,1384.1029688620899,1213.1324576654999,822.25900083809904,1319.8255889924999,1203.1833103203001,1414.1462311879,486.04238338760098,1006.7786316121,972.91021118170204,1335.0039601386,677.77285755460002,962.37545150740004,1146.3622674788,1143.4227056882701,134.78824775839999,1537.00768646034,1567.9619503930101,1871.2719110083999,1230.6820647538,1126.8251168324,1441.1257089199,1828.4265713069001,1402.9625148600001,1710.1324421744,1959.6040703113999,1577.7914786581,1263.9553645364001,1602.5798963118,1560.9982486086001,1511.4312271464
贷方,363.92707802000001,421.72219583999998,420.56516033000003,430.76863037999999,326.63227293,392.83306620000002,470.72669064000002,503.10030411999998,449.79508843999997,547.95623301000001,592.88187374999995,589.98771377000003,522.07146952999994,570.16272006999998,612.76790869000001,623.84326175149704,567.80861829114497,690.17268968386702,781.16777653095005,828.60404960018604,770.36962751665499,935.18582930073296,1052.1427785293599,1208.5630984987999,1055.5138952288301,1274.3953071897099,1418.5653922937499,1600.02564456858,1406.01654802239,1683.7442356763199,1838.0849756933401,1962.4454828154101,1803.89674202577,2127.0817702550798,2407.0668348947002,2549.4457008607001,2312.4199408092099,2723.8837117763601,3051.4490295099499,3139.61829277271,2829.4799483756401,3375.7790226418701,3823.21704559715,3317.07603885143,2287.85443950947,2548.68462895424,3029.3666233254398,3325.0009387560099,2952.62351874459,3627.15350890747,4015.0728763383199,4185.8777102228796,3798.4639280394599,4502.7605116516597,4948.5518561569197,4828.2781390384098,4113.7004329969504,5063.9489146850901,5210.9563184755998,5346.5584620872796,4929.8468063325599,5302.1074864249604,5454.4750975899497,5799.4599607468299,4821.8018576881695,5532.1977959700998,6061.3199274402796,6022.2932088735297,4836.2512063555996,5276.2365690201004,5597.6976592408,5717.3487299065,4256.0612442260999,4935.2696418587002,5279.9591008982998,5423.8964022366999,4749.0625584717,5518.2100571787996,5683.2271078470003,6211.6382568489998,5288.6307491354,6076.9756487819004,6353.6025659454999,6455.2190921948004,5254.4699997281996,5901.3859975031,6251.0347069771997,6459.5101122339702,4688.2519631290997,6037.6644393400002,6893.9446905775003,7480.2851271953004,6947.2370568877004,7622.0198521886996,8337.0704541482992,9252.0553152210996,7978.6455535841997,8358.8132649692998,8819.8206075321996,8310.9659009156003,7390.8431854560004,7871.0888728597001,8097.9957670022004,8432.0017957624004
借方,-244.12873267000001,-286.88246335000002,-278.88114538999997,-370.82169427000002,-272.80139071999997,-347.18791814000002,-345.75586277000002,-398.31299848414602,-388.04932267999999,-463.55308228000001,-513.34431519708505,-516.47752086769594,-462.16332146369501,-521.39071815369505,-543.42270799092398,-520.03866706569295,-481.64221672517198,-596.31918101719396,-708.07282400250301,-704.85904522640305,-755.67295191279197,-849.01274658771604,-974.27289396280503,-989.29369074236797,-1080.31840555248,-1213.4921607387,-1262.5664562229099,-1278.2207898327399,-1193.45036342657,-1399.5853101366099,-1491.30845267784,-1563.0711382951599,-1504.83953002625,-1672.1036137062799,-1842.16274336879,-1800.6369604640199,-1767.4827920083101,-1961.76355920788,-2225.1020052814602,-2244.5599745970499,-2301.3262647440301,-2656.8676299992899,-2846.1562109360698,-2096.5257767212602,-1603.2577213442901,-2123.8720411562299,-2519.5165189580498,-2589.4932764857299,-2687.8546481263802,-3073.0912979663199,-3242.7949383014902,-3396.12203493995,-3611.6585261559599,-3874.5797137761101,-4126.8330592617804,-4177.9756093533497,-3927.0718608001498,-4176.5751710258501,-4215.5556182135397,-4300.2639466535902,-4269.87194115688,-4388.5224060621103,-4593.9974301591101,-4643.6845963175101,-4385.0690428861199,-4482.7120602268396,-4666.94691558258,-4552.4685532553904,-3649.4122322081898,-3900.9969480832901,-4001.03673159855,-4114.1775289758298,-3211.4012849341102,-3688.3350340872898,-3895.8561320362101,-4210.7639445712002,-3926.8035576336001,-4198.3844681863002,-4480.0437975266996,-4797.4920256611003,-4802.5883657477998,-5070.1970171698003,-5380.6923547637998,-5120.2151320561998,-4576.6971421735998,-4939.0105459957003,-5104.6724394984003,-5316.0874065457001,-4553.4637153706999,-4500.6567528796604,-5325.9827401844896,-5609.0132161868996,-5716.5549921338998,-6495.1947353563,-6895.9447452284003,-7423.6287439141997,-6575.6830387241998,-6648.6808227949005,-6860.2165372208001,-6733.1744222574998,-6126.8878209196,-6268.5089765478997,-6536.9975183936003,-6920.5705686159999
1.A.b 服务,-7.0857453499999998,-4.0163824900000096,-32.604424940000001,25.804418689999999,-12.06879221,-10.909078060000001,-11.87977787,12.03303803,-8.3647107600000101,-10.629784771000001,13.956446940999999,-6.3001035699999903,-4.2952832625000097,-2.0630061124999601,6.2498481974999596,-0.85930120870403903,-8.5837143589439897,-8.2385905889239606,6.1629228767040001,7.6262275764809999,-15.404570406249,-15.728272573088001,-1.64813089826703,-7.0167860993210001,-14.688841704892001,-4.7749570730769602,-16.376491597324002,33.681688840751697,-1.42943659651104,6.0749502182800397,-15.882434606186999,14.628918485247899,-20.289814568653998,9.3235813309897502,-14.285123811464899,46.6924015841496,15.2259209157989,8.8012090870852795,8.8333705120777495,19.037143545059301,13.086864803679701,22.869065746968101,-14.2936795330903,21.9869074563514,-50.308666463461002,-35.903399575949102,-44.407137470576501,-22.843855423067499,-51.889974689196201,-31.022198942885499,-28.5588129042277,-39.154991214811801,-112.3490709996,-93.188014540315905,-160.83826673830001,-101.59478493429999,-148.44566278421499,-199.875838390165,-262.88361221764598,-186.04365067974601,-259.28897677026202,-290.00547889636903,-418.75332257051298,-267.96958312038799,-541.65723004993401,-422.99748454284702,-629.33877093024205,-543.43026302541796,-488.57073048355699,-561.07164586760905,-628.32163592445295,-505.23906856879398,-524.65380911429202,-516.76758554656999,-635.75530830214097,-654.28240820648705,-631.17823252804897,-701.21009819207995,-659.95286521287505,-596.973936066325,-735.52177758550999,-737.14207434897503,-808.60037890955903,-640.41947095722605,-634.47242576482904,-658.32772966689299,-724.81653050309399,-593.87362317386805,-514.41847578809995,-328.24871959183997,-397.60470148981,-285.03181715020003,-300.73109186300002,-275.44730255600001,-298.24546890409999,-137.69267089639999,-131.12704766499999,-185.32314381219999,-273.00474496200002,-284.9461722387,-410.3257967948,-492.19568483910001,-608.8607098855,-566.95102728569998
