date,gdp,ca,net_ex,export,import,net_fa,fa_in,fa_out,net_fdi,fdi,ofdi,net_fpi,fpi,ofpi,derivative,reserve,other_net,other_in,other_out,err_ommit
1998-03-31,2180.13262631509,104.7116,112.7126,421.79373267,-309.08113267,-41.6093,-97.2955,55.6862,87.1246,-2.3001,89.4247,-2.1119,-2.8019,0.69,0,-12.57,-126.622,-92.1935,-34.4285,-50.4798
1998-06-30,2451.58614802974,43.5928799999998,130.82335,479.28634335,-348.46299335,-18.5811,-142.17923,123.59813,97.60591,-12.61283,110.21874,-10.14627,-11.30913,1.16286,0,0.619999999999999,-106.04074,-118.25727,12.21653,-25.5777599999998
1998-09-30,2630.12573526747,52.53033,109.07959,476.29565744,-367.21606744,28.72893,-16.19617,44.9251,107.791,2.66736,105.12364,-5.96538,-1.77919,-4.18619,0,-10.59,-73.09669,-17.08434,-56.01235,-70.66926
1998-12-31,3028.90690117536,113.8794848,85.7513548000003,510.1282083,-424.3768535,-31.15968,-159.37511,128.21543,118.65928,-14.0925,132.75178,-18.97798,-22.40988,3.4319,0,-41.72,-130.84098,-122.87273,-7.96825000000002,-40.6379848000003
1999-03-31,2338.69500096631,11.5330199999999,41.7620899999999,380.61210942,-338.85001942,18.73662,-40.21746,58.95408,60.75959,-10.01542,70.77501,-35.49773,-31.56723,-3.9305,0,-13.0905,-6.52523999999998,1.36519000000002,-7.89043,-17.1136199999999
1999-06-30,2605.20371555921,5.03655999999995,34.73607,457.16141964,-422.42534964,55.69702,-52.31915,108.01617,107.99036,-1.22205,109.21241,2.20464,-3.65933,5.86397,0,-0.7144,-54.49798,-47.43777,-7.06020999999999,-59.97946
1999-09-30,2784.78749365743,100.56828,113.09105,541.82951261,-428.73846261,-17.7534300000001,-160.37394,142.62051,99.64517,-0.37326,100.01843,-5.877,-6.07305,0.19605,0,-42.3781,-111.5216,-153.92763,42.40603,-40.3741300000001
1999-12-31,3211.1071742054,94.0035236658534,116.820343665854,607.39095468,-490.570611014146,-4.62980900000007,-114.134085,109.504276,101.38625,-6.1324,107.51865,-73.165668,-64.04901,-9.116658,0,-28.8702,-32.850391,-43.952675,11.102284,-60.4161246658534
2000-03-31,2576.59351721361,36.5222705250002,53.3810550000002,525.38400587,-472.00295087,-17.215055525,-139.663795525,122.44874,65.40189,-0.99118,66.39307,2.92932,3.62932,-0.7,0,-20.407,-85.546265525,-142.301935525,56.75567,1.35503499999985
2000-06-30,2904.33010944056,26.5572782590001,73.7733659590001,626.956581439,-553.18321548,25.7374477,-190.5650933,216.302541,98.68884,1.40136,97.28748,33.36492,-1.16108,34.526,0,-13.2689,-106.3163123,-190.8053733,84.489061,-39.1049959590001
2000-09-30,3105.67446130061,66.4643619486649,93.4940054939149,699.373762651,-605.879757157085,-98.23127815475,-203.69166045475,105.4603823,96.21779,7.53969,88.6781,-43.40842,-46.44582,3.0374,0,-15.2391,-151.04064815475,-164.78553045475,13.7448823,47.1077562060852
