CA,date1
866.89686524,1998-03-31
360.904000423998,1998-06-30
434.914361169,1998-09-30
942.72853901984,1998-12-31
95.4811037119992,1999-03-31
41.6961692719996,1999-06-30
832.443880872,1999-09-30
778.23010482329,1999-12-31
302.343529496127,2000-03-31
219.853542824524,2000-06-30
550.271745445386,2000-09-30
618.929734561191,2000-12-31
496.220057481314,2001-03-31
-74.147880930418,2001-06-30
414.232549916304,2001-09-30
604.376786803013,2001-12-31
713.274804515882,2002-03-31
408.697176673448,2002-06-30
554.302511116593,2002-09-30
1255.66948757298,2002-12-31
215.913430491529,2003-03-31
681.064392989884,2003-06-30
707.714705975435,2003-09-30
1958.70383925569,2003-12-31
277.007090710613,2004-03-31
481.062561555595,2004-06-30
1429.09703501011,2004-09-30
3518.80033350671,2004-12-31
1972.80224503896,2005-03-31
2435.12742660509,2005-06-30
2712.75186649978,2005-09-30
3685.27638654888,2005-12-31
2730.17665335066,2006-03-31
3797.12581029293,2006-06-30
4808.97394033503,2006-09-30
7051.73117444447,2006-12-31
5161.97370345911,2007-03-31
6625.87864641268,2007-06-30
7426.43743328365,2007-09-30
7504.21373203306,2007-12-31
5838.28575767727,2008-03-31
6614.80699915297,2008-06-30
7512.67120244022,2008-09-30
9089.01805851159,2008-12-31
4602.80966981978,2009-03-31
2709.27811829803,2009-06-30
3097.26705512053,2009-09-30
6204.8536674846,2009-12-31
1706.26129380182,2010-03-31
2981.0256492911,2010-06-30
5584.03069324423,2010-09-30
5740.61939716935,2010-12-31
98.7663894209543,2011-03-31
2832.81608248826,2011-06-30
2715.44329934364,2011-09-30
3071.96739703501,2011-12-31
1799.89015572536,2012-03-31
3743.34627105682,2012-06-30
4824.40777819071,2012-09-30
3216.86753389489,2012-12-31
2547.61149332282,2013-03-31
2622.37385425606,2013-06-30
1995.18512155028,2013-09-30
1943.58622179837,2013-12-31
336.302109677216,2014-03-31
4707.60784333972,2014-06-30
4829.27515859358,2014-09-30
4712.27950512462,2014-12-31
4690.28234745621,2015-03-31
4191.15813221557,2015-06-30
4215.43112839633,2015-09-30
5345.2414521629,2015-12-31
2969.60910736753,2016-03-31
3880.7028514294,2016-06-30
4796.60601612645,2016-09-30
1010.7375987191,2016-12-31
1438.13904548492,2017-03-31
3672.6930463173,2017-06-30
2871.80190493083,2017-09-30
4661.04624052081,2017-12-31
-2503.68371830462,2018-03-31
-170.498504757551,2018-06-30
1201.01776510813,2018-09-30
3396.20284530627,2018-12-31
1493.8248523155,2019-03-31
1354.02257355935,2019-06-30
2163.3090848108,2019-09-30
2114.63324336273,2019-12-31
-3658.96363131037,2020-03-31
6455.32738640112,2020-06-30
6135.51987899016,2020-09-30
7962.86433205407,2020-12-31
4942.61297369719,2021-03-31
3569.35377135676,2021-06-30
5958.77192982518,2021-09-30
8212.96888161722,2021-12-31
6095.09290275503,2022-03-31
5591.78764360787,2022-06-30
10475.1202178342,2022-09-30
7927.72733717142,2022-12-31
5257.5080029905,2023-03-31
4203.5837058257,2023-06-30
4396.72240833713,2023-09-30
4036.34848659528,2023-12-31
