year,trade_of_gdp
2023,37.3167735730985
2022,38.3514805752943
2021,37.3019908656257
2020,34.7542956995492
2019,35.8900960342613
2018,37.5657841020793
2017,37.632413240495
2016,36.8944150170064
2015,39.4641693352619
2014,44.9052159543363
2013,46.7443755773118
2012,48.2675223673812
2011,50.7409045864006
2010,50.717077662749
2009,45.1849762071912
2008,57.6123422414767
2007,62.1936250853568
2006,64.4791912001398
2005,62.208021923361
2004,59.5055314137615
2003,51.8042195750931
2002,42.7471815559927
2001,38.5272103258233
2000,39.4110338948079
1999,33.5243642463724
1998,32.4241401339506
1997,34.5330881764594
1996,33.8146437887682
1995,34.2770388371821
1994,35.7699934494533
1993,36.0560778683813
1992,30.1457164551958
1991,25.9497241063344
1990,24.2731321081918
