TIME_PERIOD,Q.US.BCA_BP6_USD,Q.CN.BCA_BP6_USD,Q.JP.BCA_BP6_USD
1990-Q1,-15910,,
1990-Q2,-17769,,
1990-Q3,-29207,,
1990-Q4,-16066,,
1991-Q1,17737,,
1991-Q2,4269,,
1991-Q3,-11584,,
1991-Q4,-7571,,
1992-Q1,1129.15,,
1992-Q2,-10196.1,,
1992-Q3,-22404.7,,
1992-Q4,-20133.4,,
1993-Q1,-7087.8,,
1993-Q2,-19819.9,,
1993-Q3,-28417.8,,
1993-Q4,-29457.3,,
1994-Q1,-17159.2,,
1994-Q2,-27561.2,,
1994-Q3,-39430.4,,
1994-Q4,-37491.6,,
1995-Q1,-22620.5,,
1995-Q2,-32015,,
1995-Q3,-35176.9,,
1995-Q4,-23748.6,,
1996-Q1,-17592.1,,20894.2190144931
1996-Q2,-30364,,15444.7747683535
1996-Q3,-45713.1,,15859.1516086432
1996-Q4,-31057.9,,16795.9812558054
1997-Q1,-25638.6,,17216.6651125388
1997-Q2,-29326.3,,24707.2237843856
1997-Q3,-43988.3,,24024.2022047723
1997-Q4,-41771.3,,29507.7885866644
1998-Q1,-33904.5,,28741.0509136057
1998-Q2,-51735.5,,27456.2906560619
1998-Q3,-69793.9,,28870.7666007457
1998-Q4,-59603.1,,29616.9265304323
1999-Q1,-52415,,26013.3309156588
1999-Q2,-67690,,27652.9441277537
1999-Q3,-86711,,30543.0523343658
1999-Q4,-79806,,29917.1040545191
2000-Q1,-84585,,34216.8763631192
2000-Q2,-96104,,35927.9528556557
2000-Q3,-114965,,36046.2828803852
2000-Q4,-106274,,24499.3619293278
2001-Q1,-96454,,26946.518404656
2001-Q2,-95128,,17611.68143204
2001-Q3,-113956,,21451.5818535771
2001-Q4,-88541,,20210.1390640561
2002-Q1,-90445,,31174.8590305292
2002-Q2,-114317,,26523.2784463109
2002-Q3,-127723,,27547.4253082054
2002-Q4,-123624,,23615.7331069722
2003-Q1,-123418,,30218.7488807201
2003-Q2,-128394,,32188.0647506856
2003-Q3,-143201,,39201.7454046436
2003-Q4,-127284,,37771.9610180343
2004-Q1,-125763,,49387.3461912485
2004-Q2,-156344,,44151.1859078492
2004-Q3,-174150,,46416.7381414204
2004-Q4,-179630,,42038.4793341215
2005-Q1,-155179,23836.1897545938,46181.6131127804
2005-Q2,-182097,29422.1884444522,39495.3807246071
2005-Q3,-203326,33494.071840426,43576.7631927895
2005-Q4,-208628,45626.0437269272,40868.9930537712
2006-Q1,-183714,33957.2802768313,47234.0449373023
2006-Q2,-206887,47404.0275271274,36271.6372946522
2006-Q3,-235072,60535.4177163883,46962.422919604
2006-Q4,-190969,89946.3155440666,44204.6642015328
2007-Q1,-183935,66624.4519367797,59251.4881707079
2007-Q2,-192344,86550.5668658177,46568.523833891
2007-Q3,-191125,98478.6275326583,58237.2588235422
2007-Q4,-169150,101529.03090206,47678.3755741595
2008-Q1,-160406,82204.2910521757,61454.1207216777
2008-Q2,-180281,95472.8848011532,31663.1091269806
2008-Q3,-202887,109806.013102467,34339.6277553157
2008-Q4,-152952,133085.327187749,14659.0780620925
2009-Q1,-83678,67331.9144210032,24276.4916177859
