TIME_PERIOD,Q.JP.BCAXF_BP6_USD,Q.US.BCAXF_BP6_USD,Q.CN.BCAXF_BP6_USD
1990-Q1,,-15910,
1990-Q2,,-17769,
1990-Q3,,-29207,
1990-Q4,,-16066,
1991-Q1,,17737,
1991-Q2,,4269,
1991-Q3,,-11584,
1991-Q4,,-7571,
1992-Q1,,1129.15,
1992-Q2,,-10196.1,
1992-Q3,,-22404.7,
1992-Q4,,-20133.4,
1993-Q1,,-7087.8,
1993-Q2,,-19819.9,
1993-Q3,,-28417.8,
1993-Q4,,-29457.3,
1994-Q1,,-17159.2,
1994-Q2,,-27561.2,
1994-Q3,,-39430.4,
1994-Q4,,-37491.6,
1995-Q1,,-22620.5,
1995-Q2,,-32015,
1995-Q3,,-35176.9,
1995-Q4,,-23748.6,
1996-Q1,20894.219014493,-17592.1,
1996-Q2,15444.7747683535,-30364,
1996-Q3,15859.1516086434,-45713.1,
1996-Q4,16795.9812558054,-31057.9,
1997-Q1,17216.6651125386,-25638.6,
1997-Q2,24707.2237843859,-29326.3,
1997-Q3,24024.2022047727,-43988.3,
1997-Q4,29507.7885866644,-41771.3,
1998-Q1,28741.0509136056,-33904.5,
1998-Q2,27456.2906560621,-51735.5,
1998-Q3,28870.7666007457,-69793.9,
1998-Q4,29616.9265304324,-59603.1,
1999-Q1,26013.3309156589,-52415,
1999-Q2,27652.9441277537,-67690,
1999-Q3,30543.0523343658,-86711,
1999-Q4,29917.1040545191,-79806,
2000-Q1,34216.8763631193,-84585,
2000-Q2,35927.9528556557,-96104,
2000-Q3,36046.2828803851,-114965,
2000-Q4,24499.3619293279,-106274,
2001-Q1,26946.518404656,-96454,
2001-Q2,17611.68143204,-95128,
2001-Q3,21451.5818535768,-113956,
2001-Q4,20210.1390640558,-88541,
2002-Q1,31174.8590305291,-90445,
2002-Q2,26523.2784463109,-114317,
2002-Q3,27547.4253082053,-127723,
2002-Q4,23615.7331069723,-123624,
2003-Q1,30218.7488807197,-123418,
2003-Q2,32188.0647506855,-128394,
2003-Q3,39201.7454046437,-143201,
2003-Q4,37771.9610180344,-127284,
2004-Q1,49387.3461912485,-125763,
2004-Q2,44151.185907849,-156344,
2004-Q3,46416.7381414201,-174150,
2004-Q4,42038.4793341219,-179630,
2005-Q1,46181.6131127806,-155179,23836.1897545942
2005-Q2,39495.3807246071,-182097,29422.1884444526
2005-Q3,43576.7631927898,-203326,33494.0718404255
2005-Q4,40868.9930537712,-208628,45626.0437269276
2006-Q1,47234.0449373022,-183714,33957.2802768312
2006-Q2,36271.6372946524,-206887,47404.0275271281
2006-Q3,46962.4229196038,-235072,60535.4177163889
2006-Q4,44204.6642015325,-190969,89946.3155440669
2007-Q1,59251.4881707077,-183935,66624.45193678
2007-Q2,46568.5238338915,-192344,86550.566865817
2007-Q3,58237.2588235416,-191125,98478.6275326587
2007-Q4,47678.3755741598,-169150,101529.03090206
2008-Q1,61454.1207216778,-160406,82204.2910521763
2008-Q2,31663.1091269802,-180281,95472.8848011533
2008-Q3,34339.6277553155,-202887,109806.013102468
2008-Q4,14659.0780620929,-152952,133085.327187749
2009-Q1,24276.4916177856,-83678,67331.9144210033
