中文名称,country,iso3,iso2,date,Debt,Equity,Total
巴西,Brazil,BRA,BR,1995-04,17.799,174.632,192.431
新兴市场,,,,1995-04,312.7049661497023,327.7494777501631,640.4544438998653
韩国,Korea (Republic of),KOR,KR,1995-04,937.1,82.7,1019.8
墨西哥,Mexico,MEX,MX,1995-04,-858.3,,
南非,South Africa,ZAF,ZA,1995-04,16.10596614970216,84.41747775016306,100.5234438998652
土耳其,Türkiye,TUR,TR,1995-04,200.0,-14.0,186.0
巴西,Brazil,BRA,BR,1995-08,1445.474,2032.912,3478.386
新兴市场,,,,1995-08,2001.413166245689,3049.072752487426,5050.485918733115
韩国,Korea (Republic of),KOR,KR,1995-08,967.1,792.1,1759.2
墨西哥,Mexico,MEX,MX,1995-08,-769.4,,
南非,South Africa,ZAF,ZA,1995-08,159.2391662456894,146.0607524874255,305.2999187331149
土耳其,Türkiye,TUR,TR,1995-08,199.0,78.0,277.0
巴西,Brazil,BRA,BR,1995-12,566.035,340.327,906.362
新兴市场,,,,1995-12,1940.185614722774,551.5011881947022,2491.686802917476
韩国,Korea (Republic of),KOR,KR,1995-12,1289.7,118.2,1407.9
墨西哥,Mexico,MEX,MX,1995-12,-600.0,,
南非,South Africa,ZAF,ZA,1995-12,305.4506147227738,73.97418819470214,379.4248029174759
土耳其,Türkiye,TUR,TR,1995-12,379.0,19.0,398.0
巴西,Brazil,BRA,BR,1995-02,48.404,-76.39,-27.986
新兴市场,,,,1995-02,-1497.125799306209,-175.9859805064393,-1673.111779812648
韩国,Korea (Republic of),KOR,KR,1995-02,588.4,-198.2,390.2
墨西哥,Mexico,MEX,MX,1995-02,-1845.5,,
南非,South Africa,ZAF,ZA,1995-02,-199.4297993062092,64.60401949356073,-134.8257798126485
土耳其,Türkiye,TUR,TR,1995-02,-89.0,34.0,-55.0
巴西,Brazil,BRA,BR,1995-01,356.686,-1247.381,-890.6950000000002
新兴市场,,,,1995-01,381.469684564479,-1528.159301092405,-1146.689616527926
韩国,Korea (Republic of),KOR,KR,1995-01,770.0,-347.4,422.6
墨西哥,Mexico,MEX,MX,1995-01,-716.2,,
南非,South Africa,ZAF,ZA,1995-01,-37.01631543552092,59.62169890759476,22.60538347207384
土耳其,Türkiye,TUR,TR,1995-01,8.0,7.0,15.0
巴西,Brazil,BRA,BR,1995-07,1993.762,1406.94,3400.702
新兴市场,,,,1995-07,799.4446531565443,3224.282347530318,4023.727000686862
韩国,Korea (Republic of),KOR,KR,1995-07,584.7,1710.4,2295.1
墨西哥,Mexico,MEX,MX,1995-07,-2602.7,,
南非,South Africa,ZAF,ZA,1995-07,18.68265315654412,115.9423475303179,134.6250006868621
土耳其,Türkiye,TUR,TR,1995-07,805.0,-9.0,796.0
巴西,Brazil,BRA,BR,1995-06,2164.55,-62.105,2102.445
新兴市场,,,,1995-06,1861.799234004206,590.3803491356947,2452.1795831399
韩国,Korea (Republic of),KOR,KR,1995-06,792.5,419.0,1211.5
墨西哥,Mexico,MEX,MX,1995-06,-1069.2,,
南非,South Africa,ZAF,ZA,1995-06,-39.05076599579456,233.4853491356947,194.4345831399002
土耳其,Türkiye,TUR,TR,1995-06,13.0,0.0,13.0
巴西,Brazil,BRA,BR,1995-03,-1156.425,-1268.265,-2424.69
新兴市场,,,,1995-03,-2369.078757819817,-1248.322547738749,-3617.401305558566
韩国,Korea (Republic of),KOR,KR,1995-03,1129.6,-74.0,1055.6
墨西哥,Mexico,MEX,MX,1995-03,-2114.3,,
南非,South Africa,ZAF,ZA,1995-03,207.0462421801832,108.9424522612508,315.9886944414339
土耳其,Türkiye,TUR,TR,1995-03,-435.0,-15.0,-450.0
巴西,Brazil,BRA,BR,1995-05,263.043,1101.638,1364.681
新兴市场,,,,1995-05,-336.1450682641243,1297.351893345505,961.2068250813809
韩国,Korea (Republic of),KOR,KR,1995-05,1341.4,-63.9,1277.5
墨西哥,Mexico,MEX,MX,1995-05,-1442.1,,
南非,South Africa,ZAF,ZA,1995-05,26.51193173587559,241.6138933455053,268.1258250813809
土耳其,Türkiye,TUR,TR,1995-05,-525.0,18.0,-507.0
巴西,Brazil,BRA,BR,1995-11,527.275,188.566,715.841
新兴市场,,,,1995-11,323.9542797361721,599.8566064701481,923.8108862063202
韩国,Korea (Republic of),KOR,KR,1995-11,659.3,320.1,979.4
墨西哥,Mexico,MEX,MX,1995-11,-764.4,,
南非,South Africa,ZAF,ZA,1995-11,204.7792797361721,90.1906064701481,294.9698862063202
土耳其,Türkiye,TUR,TR,1995-11,-303.0,1.0,-302.0
巴西,Brazil,BRA,BR,1995-10,942.753,278.57,1221.323
新兴市场,,,,1995-10,1452.007905054622,887.4733058304021,2339.481210885024
韩国,Korea (Republic of),KOR,KR,1995-10,588.8,563.8,1152.6
墨西哥,Mexico,MEX,MX,1995-10,-576.0,,
南非,South Africa,ZAF,ZA,1995-10,268.454905054622,44.10330583040218,312.5582108850242
土耳其,Türkiye,TUR,TR,1995-10,228.0,1.0,229.0
巴西,Brazil,BRA,BR,1995-09,-40.173,373.541,333.368
新兴市场,,,,1995-09,-31.65607851109962,1404.716968793265,1373.060890282165
韩国,Korea (Republic of),KOR,KR,1995-09,751.8,896.1,1647.9
墨西哥,Mexico,MEX,MX,1995-09,-432.4,,
南非,South Africa,ZAF,ZA,1995-09,-338.8830785110996,60.07596879326503,-278.8071097178346
土耳其,Türkiye,TUR,TR,1995-09,28.0,75.0,103.0
巴西,Brazil,BRA,BR,1996-04,623.621,571.855,1195.476
新兴市场,,,,1996-04,1681.67818571039,2407.900297067856,4089.578482778246
韩国,Korea (Republic of),KOR,KR,1996-04,914.0,1741.4,2655.4
墨西哥,Mexico,MEX,MX,1996-04,-126.9,,
南非,South Africa,ZAF,ZA,1996-04,-529.0428142896096,75.64529706785544,-453.3975172217542
土耳其,Türkiye,TUR,TR,1996-04,800.0,19.0,819.0
巴西,Brazil,BRA,BR,1996-08,732.834,689.146,1421.98
新兴市场,,,,1996-08,2688.143777643209,961.6611857246098,3649.804963367818
韩国,Korea (Republic of),KOR,KR,1996-08,1667.9,207.6,1875.5
墨西哥,Mexico,MEX,MX,1996-08,479.5,,
南非,South Africa,ZAF,ZA,1996-08,-287.0902223567914,55.91518572460987,-231.1750366321815
土耳其,Türkiye,TUR,TR,1996-08,95.0,9.0,104.0
巴西,Brazil,BRA,BR,1996-12,2871.623,654.468,3526.091
新兴市场,,,,1996-12,5139.22009243371,1047.874239099295,6187.094331533006
韩国,Korea (Republic of),KOR,KR,1996-12,1722.6,278.6,2001.2
墨西哥,Mexico,MEX,MX,1996-12,317.0,,
南非,South Africa,ZAF,ZA,1996-12,113.9970924337101,107.8062390992951,221.8033315330052
土耳其,Türkiye,TUR,TR,1996-12,114.0,7.0,121.0
巴西,Brazil,BRA,BR,1996-02,1040.809,638.628,1679.437
新兴市场,,,,1996-02,1825.127086955129,1269.848604793824,3094.975691748952
韩国,Korea (Republic of),KOR,KR,1996-02,766.4,283.3,1049.7
墨西哥,Mexico,MEX,MX,1996-02,-643.6,,
南非,South Africa,ZAF,ZA,1996-02,303.5180869551286,305.9206047938235,609.4386917489521
土耳其,Türkiye,TUR,TR,1996-02,358.0,42.0,400.0
巴西,Brazil,BRA,BR,1996-01,620.334,1405.835,2026.169
新兴市场,,,,1996-01,1569.687126613285,1777.095727584276,3346.78285419756
韩国,Korea (Republic of),KOR,KR,1996-01,109.0,109.9,218.9
墨西哥,Mexico,MEX,MX,1996-01,308.0,,
