date,Debt,Equity,Total,country1,name,iso3
1995-04-01,17.799,174.632,192.431,Brazil,Brazil,BRA
1995-08-01,1445.474,2032.912,3478.386,Brazil,Brazil,BRA
1995-12-01,566.035,340.327,906.362,Brazil,Brazil,BRA
1995-02-01,48.404,-76.39,-27.985999999999997,Brazil,Brazil,BRA
1995-01-01,356.686,-1247.381,-890.6950000000002,Brazil,Brazil,BRA
1995-07-01,1993.762,1406.94,3400.702,Brazil,Brazil,BRA
1995-06-01,2164.55,-62.105,2102.445,Brazil,Brazil,BRA
1995-03-01,-1156.425,-1268.265,-2424.69,Brazil,Brazil,BRA
1995-05-01,263.043,1101.638,1364.681,Brazil,Brazil,BRA
1995-11-01,527.275,188.566,715.841,Brazil,Brazil,BRA
1995-10-01,942.753,278.57,1221.323,Brazil,Brazil,BRA
1995-09-01,-40.173,373.541,333.368,Brazil,Brazil,BRA
1996-04-01,623.621,571.855,1195.476,Brazil,Brazil,BRA
1996-08-01,732.834,689.146,1421.98,Brazil,Brazil,BRA
1996-12-01,2871.623,654.468,3526.091,Brazil,Brazil,BRA
1996-02-01,1040.809,638.628,1679.437,Brazil,Brazil,BRA
1996-01-01,620.334,1405.835,2026.1689999999999,Brazil,Brazil,BRA
1996-07-01,1438.455,-57.329,1381.126,Brazil,Brazil,BRA
1996-06-01,1993.361,-219.431,1773.93,Brazil,Brazil,BRA
1996-03-01,874.927,-114.203,760.724,Brazil,Brazil,BRA
1996-05-01,1724.999,649.341,2374.34,Brazil,Brazil,BRA
1996-11-01,2476.567,610.683,3087.25,Brazil,Brazil,BRA
1996-10-01,1192.038,665.298,1857.336,Brazil,Brazil,BRA
1996-09-01,286.699,651.107,937.806,Brazil,Brazil,BRA
1997-04-01,451.566,456.826,908.392,Brazil,Brazil,BRA
1997-08-01,1328.111,878.0,2206.111,Brazil,Brazil,BRA
1997-12-01,-2300.047,-159.124,-2459.171,Brazil,Brazil,BRA
1997-02-01,1145.112,1182.084,2327.196,Brazil,Brazil,BRA
1997-01-01,-62.011,1253.043,1191.032,Brazil,Brazil,BRA
1997-07-01,1936.052,947.425,2883.477,Brazil,Brazil,BRA
1997-06-01,209.219,1230.536,1439.755,Brazil,Brazil,BRA
1997-03-01,337.88,594.699,932.579,Brazil,Brazil,BRA
1997-05-01,1105.709,1897.082,3002.791,Brazil,Brazil,BRA
1997-11-01,-506.297,-1110.291,-1616.588,Brazil,Brazil,BRA
1997-10-01,-458.095,-520.245,-978.34,Brazil,Brazil,BRA
1997-09-01,850.0,220.702,1070.702,Brazil,Brazil,BRA
1998-04-01,5591.691,604.842,6196.532999999999,Brazil,Brazil,BRA
1998-08-01,403.463,-1779.738,-1376.275,Brazil,Brazil,BRA
1998-12-01,-709.854,-991.906,-1701.76,Brazil,Brazil,BRA
1998-02-01,1021.342,1579.181,2600.523,Brazil,Brazil,BRA
1998-01-01,444.862,657.323,1102.185,Brazil,Brazil,BRA
1998-07-01,-326.631,1228.414,901.783,Brazil,Brazil,BRA
1998-06-01,1091.771,-296.669,795.102,Brazil,Brazil,BRA
1998-03-01,7214.016,1563.143,8777.159,Brazil,Brazil,BRA
1998-05-01,1814.425,600.564,2414.989,Brazil,Brazil,BRA
1998-11-01,-59.806,325.419,265.613,Brazil,Brazil,BRA
1998-10-01,4719.775,-267.129,4452.646,Brazil,Brazil,BRA
1998-09-01,-3617.579,-2228.714,-5846.293,Brazil,Brazil,BRA
1999-04-01,2367.105,582.344,2949.449,Brazil,Brazil,BRA
1999-08-01,223.042,-227.885,-4.842999999999989,Brazil,Brazil,BRA
1999-12-01,2490.994,242.755,2733.7490000000003,Brazil,Brazil,BRA
1999-02-01,-4976.064,307.782,-4668.282,Brazil,Brazil,BRA
1999-01-01,-1851.081,-480.034,-2331.115,Brazil,Brazil,BRA
1999-07-01,-859.701,159.148,-700.553,Brazil,Brazil,BRA
1999-06-01,-720.124,127.569,-592.5550000000001,Brazil,Brazil,BRA
1999-03-01,-442.739,422.494,-20.244999999999948,Brazil,Brazil,BRA
1999-05-01,2002.181,1060.762,3062.943,Brazil,Brazil,BRA
1999-11-01,1593.7,172.228,1765.928,Brazil,Brazil,BRA
1999-10-01,363.429,48.415,411.844,Brazil,Brazil,BRA
1999-09-01,780.114,155.931,936.0450000000001,Brazil,Brazil,BRA
2000-04-01,446.0762,-172.3515999999999,273.72460000000007,Brazil,Brazil,BRA
2000-08-01,605.48176,1367.3259200000002,1972.8076800000003,Brazil,Brazil,BRA
2000-12-01,611.94608,117.69735999999992,729.6434399999999,Brazil,Brazil,BRA
2000-02-01,1277.324,-129.93,1147.394,Brazil,Brazil,BRA
2000-01-01,577.679,124.372,702.0509999999999,Brazil,Brazil,BRA
2000-07-01,1139.9099199999998,486.5986400000001,1626.50856,Brazil,Brazil,BRA
2000-06-01,-530.00767,1435.1826100000003,905.1749400000003,Brazil,Brazil,BRA
2000-03-01,1248.37318,252.30306,1500.67624,Brazil,Brazil,BRA
2000-05-01,-0.021740000000005238,73.35342000000004,73.33168000000003,Brazil,Brazil,BRA
2000-11-01,46.57015999999997,-106.60828000000005,-60.03812000000008,Brazil,Brazil,BRA
2000-10-01,-369.4129618945313,29.530216640624975,-339.8827452539063,Brazil,Brazil,BRA
2000-09-01,520.94773,-401.55959000000007,119.38813999999991,Brazil,Brazil,BRA
2001-04-01,792.8004599999999,-149.59518,643.2052799999999,Brazil,Brazil,BRA
2001-08-01,1885.2541400000002,-143.58462,1741.6695200000001,Brazil,Brazil,BRA
2001-12-01,-835.8024399999999,-63.83148000000004,-899.63392,Brazil,Brazil,BRA
2001-02-01,-164.06808,238.32864,74.26056,Brazil,Brazil,BRA
2001-01-01,1928.39466,594.9482200000001,2523.34288,Brazil,Brazil,BRA
2001-07-01,-116.79842000000004,687.7838599999999,570.9854399999998,Brazil,Brazil,BRA
2001-06-01,-2047.33277,710.0579099999999,-1337.27486,Brazil,Brazil,BRA
2001-03-01,227.80192999999994,56.12081,283.9227399999999,Brazil,Brazil,BRA
2001-05-01,-542.3642000000002,442.53860000000003,-99.82560000000018,Brazil,Brazil,BRA
2001-11-01,-1571.0484,87.32720000000003,-1483.7212,Brazil,Brazil,BRA
2001-10-01,-999.1392,8.799599999999991,-990.3396,Brazil,Brazil,BRA
2001-09-01,-166.77386,12.30737999999999,-154.46648000000002,Brazil,Brazil,BRA
2002-04-01,156.5891499999999,1001.8235500000001,1158.4126999999999,Brazil,Brazil,BRA
