month,ID,country,debt_inf,debt_out,eq_inf,eq_out,fdi_inf,fdi_out,other_inf,other_out,port_inf,port_out,中文名称,iso2,GPRC,GPRHC
1995-01-01T00:00:00Z,BEL,Belgium,,,,,,,,,,,比利时,BE,0.106605887413025,0.0596777386963368
1995-01-01T00:00:00Z,BRA,Brazil,0.356686,-0.039665084,-1.247381,0.050461084,0.412422,0.07938,0.809236,-0.646283413,-0.890695007324219,0.0107959995269775,巴西,BR,0.0441127829253674,0.0298388693481684
1995-01-01T00:00:00Z,CAN,Canada,4.307,1.556,-0.595,0.079,,,,,3.712,1.635,加拿大,CA,0.13601441681385,0.0497314520180225
1995-01-01T00:00:00Z,CHL,Chile,,,,,,,,,,,智利,CL,0.0220563914626837,0.00994629040360451
1995-01-01T00:00:00Z,CHN,China,,,,,,,,,,,中国,CN,0.187479317188263,0.188979506492615
1995-01-01T00:00:00Z,COL,Colombia,,,,,,,,,,,哥伦比亚,CO,0.0110281957313418,0.00994629040360451
1995-01-01T00:00:00Z,DEU,Germany,3.2062272,-0.974028,-2.8277832,-0.7109784,1.7793072,5.1195408,1.8438288,-5.0512968,0.378444091796875,-1.68500646972656,德国,DE,0.382310777902603,0.348120152950287
1995-01-01T00:00:00Z,DNK,Denmark,,,,,,,,,,,丹麦,DK,0.0330845862627029,0
1995-01-01T00:00:00Z,ESP,Spain,,,,,0.539748,0.0037224,4.1802552,2.9332512,-1.83018,-0.2258256,西班牙,ES,0.0551409758627415,0.0298388693481684
1995-01-01T00:00:00Z,FIN,Finland,,,,,,,,,,,芬兰,FI,0.0257324557751417,0.00994629040360451
1995-01-01T00:00:00Z,FRA,France,,,,,,,,,,,法国,FR,0.50362092256546,0.537099659442902
1995-01-01T00:00:00Z,HUN,Hungary,,,,,,,,,,,匈牙利,HU,0.0551409758627415,0.0696240290999413
1995-01-01T00:00:00Z,IDN,Indonesia,,,,,,,,,,,印度尼西亚,ID,0.0551409758627415,0.0298388693481684
1995-01-01T00:00:00Z,IND,India,,,,,,,,,,,印度,IN,0.11763408780098,0.119355477392674
1995-01-01T00:00:00Z,ITA,Italy,,,,,0.291588,1.0373088,,,,,意大利,IT,0.0882255658507347,0.00994629040360451
