"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2009-10-28","27.91","24.83","27.94","24.83","","12.40%"
"2009-10-27","24.83","24.38","25.22","24.03","","2.14%"
"2009-10-26","24.31","23.06","24.86","21.89","","9.16%"
"2009-10-23","22.27","20.70","22.59","20.34","","7.64%"
"2009-10-22","20.69","22.22","22.77","20.33","","-6.89%"
"2009-10-21","22.22","20.90","22.48","20.10","","6.32%"
"2009-10-20","20.90","21.55","21.76","20.90","","-2.75%"
"2009-10-19","21.49","21.41","22.46","20.91","","0.28%"
"2009-10-16","21.43","21.72","22.60","20.98","","-1.34%"
"2009-10-15","21.72","23.51","23.53","21.49","","-4.99%"
"2009-10-14","22.86","22.08","22.89","21.55","","-0.57%"
"2009-10-13","22.99","23.00","24.07","22.74","","-0.09%"
"2009-10-12","23.01","23.12","23.53","22.67","","-0.48%"
"2009-10-9","23.12","24.39","24.54","22.99","","-4.38%"
"2009-10-8","24.18","24.68","24.69","23.90","","-2.03%"
"2009-10-7","24.68","25.78","25.82","24.57","","-3.97%"
"2009-10-6","25.70","26.39","26.41","25.19","","-4.25%"
"2009-10-5","26.84","29.34","29.34","26.57","","-6.42%"
"2009-10-2","28.68","29.34","29.56","27.98","","1.45%"
"2009-10-1","28.27","25.98","28.42","25.98","","10.39%"
"2009-9-30","25.61","25.19","26.45","24.76","","1.67%"
"2009-9-29","25.19","24.88","25.28","24.54","","1.25%"
"2009-9-28","24.88","26.26","26.40","24.85","","-2.85%"
"2009-9-25","25.61","25.18","26.34","24.81","","2.65%"
"2009-9-24","24.95","23.67","25.37","23.44","","6.22%"
"2009-9-23","23.49","22.90","23.69","22.19","","1.78%"
"2009-9-22","23.08","23.81","23.98","23.06","","-4.07%"
"2009-9-21","24.06","25.34","25.51","23.71","","0.59%"
"2009-9-18","23.92","23.65","24.43","23.14","","1.14%"
"2009-9-17","23.65","23.99","24.07","22.79","","-0.17%"
"2009-9-16","23.69","23.29","23.92","22.78","","1.15%"
"2009-9-15","23.42","23.90","24.27","23.07","","-1.84%"
"2009-9-14","23.86","25.39","25.39","23.32","","-1.20%"
"2009-9-11","24.15","23.49","24.33","22.48","","2.55%"
"2009-9-10","23.55","24.40","24.76","22.82","","-3.17%"
"2009-9-9","24.32","25.66","25.93","24.23","","-5.07%"
"2009-9-8","25.62","25.26","26.15","25.26","","1.43%"
"2009-9-4","25.26","26.98","26.98","24.86","","-6.79%"
"2009-9-3","27.10","28.90","28.90","26.98","","-6.23%"
"2009-9-2","28.90","29.14","29.57","28.41","","-0.86%"
"2009-9-1","29.15","26.01","29.23","26.00","","12.07%"
"2009-8-31","26.01","24.76","27.01","24.76","","5.05%"
"2009-8-28","24.76","24.44","25.50","24.28","","0.32%"
"2009-8-27","24.68","25.13","25.89","24.43","","-1.08%"
"2009-8-26","24.95","24.91","25.56","24.69","","0.12%"
"2009-8-25","24.92","25.13","25.13","23.68","","-0.88%"
"2009-8-24","25.14","25.01","25.70","25.01","","0.52%"
"2009-8-21","25.01","24.49","25.06","23.91","","-0.32%"
"2009-8-20","25.09","26.45","26.45","24.75","","-4.46%"
"2009-8-19","26.26","28.08","28.14","26.14","","0.31%"
"2009-8-18","26.18","27.89","27.89","26.08","","-6.13%"
"2009-8-17","27.89","24.27","28.39","24.27","","14.92%"
"2009-8-14","24.27","24.77","25.94","24.26","","-1.78%"
"2009-8-13","24.71","25.34","26.15","24.71","","-2.91%"
"2009-8-12","25.45","25.99","26.50","25.11","","-2.08%"
"2009-8-11","25.99","24.98","26.98","24.98","","4.00%"
"2009-8-10","24.99","24.76","25.82","24.76","","0.93%"
"2009-8-7","24.76","24.71","24.95","23.98","","-3.54%"
"2009-8-6","25.67","24.90","26.15","24.47","","3.09%"
"2009-8-5","24.90","24.91","25.85","24.86","","0.04%"
"2009-8-4","24.89","25.55","26.16","24.89","","-2.62%"
"2009-8-3","25.56","25.92","26.49","25.56","","-1.39%"
"2009-7-31","25.92","25.40","26.22","24.93","","2.05%"
"2009-7-30","25.40","25.40","25.76","24.85","","-0.82%"
"2009-7-29","25.61","25.47","26.18","25.41","","2.40%"
"2009-7-28","25.01","24.28","25.61","24.28","","3.01%"
"2009-7-27","24.28","24.06","24.86","24.02","","5.15%"
"2009-7-24","23.09","23.87","23.87","23.00","","-1.45%"
"2009-7-23","23.43","23.71","24.05","23.21","","-0.17%"
"2009-7-22","23.47","24.05","24.14","23.24","","-1.68%"
"2009-7-21","23.87","24.28","25.14","23.81","","-2.17%"
"2009-7-20","24.40","25.06","25.42","24.26","","0.25%"
"2009-7-17","24.34","25.42","25.55","23.88","","-4.25%"
"2009-7-16","25.42","25.96","26.18","24.51","","-1.82%"
"2009-7-15","25.89","25.05","26.06","23.83","","3.48%"
"2009-7-14","25.02","26.31","26.84","24.99","","-4.90%"
"2009-7-13","26.31","28.36","29.24","25.42","","-9.34%"
"2009-7-10","29.02","29.78","30.34","28.82","","-2.55%"
"2009-7-9","29.78","30.23","30.49","29.28","","-4.86%"
"2009-7-8","31.30","30.85","33.05","30.43","","1.46%"
